Rank,Title,Year,IMDb Rating,URL
71,Jingle Bell Heist,,5.8,https://www.imdb.com/title/tt24852126/?ref_=ls_i_71
72,The Monkey,,5.9,https://www.imdb.com/title/tt27714946/?ref_=ls_i_72
73,Jay Kelly,,6.6,https://www.imdb.com/title/tt30446847/?ref_=ls_i_73
74,Eenie Meanie,,5.9,https://www.imdb.com/title/tt15514498/?ref_=ls_i_74
75,Highest 2 Lowest,,5.5,https://www.imdb.com/title/tt31194612/?ref_=ls_i_75
76,Sentimental Value,,7.9,https://www.imdb.com/title/tt27714581/?ref_=ls_i_76
77,A Big Bold Beautiful Journey,,6.0,https://www.imdb.com/title/tt13650700/?ref_=ls_i_77
78,Die My Love,,6.1,https://www.imdb.com/title/tt9362736/?ref_=ls_i_78
79,Dangerous Animals,,6.4,https://www.imdb.com/title/tt32299316/?ref_=ls_i_79
80,The Smashing Machine,,6.4,https://www.imdb.com/title/tt11214558/?ref_=ls_i_80
81,She Rides Shotgun,,6.5,https://www.imdb.com/title/tt27986457/?ref_=ls_i_81
82,The Family Plan 2,,5.6,https://www.imdb.com/title/tt34276058/?ref_=ls_i_82
83,A Working Man,,5.7,https://www.imdb.com/title/tt9150192/?ref_=ls_i_83
84,Black Bag,,6.7,https://www.imdb.com/title/tt30988739/?ref_=ls_i_84
85,The Bad Guys 2,,7.0,https://www.imdb.com/title/tt30017619/?ref_=ls_i_85
86,Dracula,,6.2,https://www.imdb.com/title/tt31434030/?ref_=ls_i_86
87,Exterritorial,,5.8,https://www.imdb.com/title/tt30876483/?ref_=ls_i_87
88,Together,,6.7,https://www.imdb.com/title/tt31184028/?ref_=ls_i_88
89,The Phoenician Scheme,,6.6,https://www.imdb.com/title/tt30840798/?ref_=ls_i_89
90,Champagne Problems,,6.0,https://www.imdb.com/title/tt33053440/?ref_=ls_i_90
91,Eden,,6.5,https://www.imdb.com/title/tt23149780/?ref_=ls_i_91
92,Drop,,6.1,https://www.imdb.com/title/tt32149847/?ref_=ls_i_92
